Temperature,Relative_Humidity,Wind_Speed,Soil_Temperature,Soil_Moisture,CAUTION
25.28,94,5.15,27.38,0.26,0
24.70,97,6.84,26.91,0.26,0
26.65,92,5.23,27.03,0.26,0
26.32,93,5.75,26.87,0.26,0
25.95,43,6.01,26.68,0.26,1
25.50,94,6.33,26.49,0.26,0
25.41,94,6.66,26.30,0.26,0
25.14,94,6.66,26.12,0.26,0
25.59,43,6.66,29.96,0.2,1
28.05,85,6.01,26.04,0.26,0
29.83,76,6.33,26.38,0.26,0
31.19,70,5.49,26.87,0.26,1
31.87,68,4.39,27.41,0.26,1
31.36,40,2.94,27.74,0.27,1
29.83,81,2.15,28.12,0.27,0
30.60,81,1.92,28.45,0.27,0
30.92,86,2.88,28.75,0.29,0
30.57,89,3.47,28.99,0.29,0
29.16,85,4.52,29.02,0.32,0
28.68,90,3.84,28.96,0.31,0
28.58,94,5.01,28.84,0.30,0
27.31,22,7.11,32.83,0.26,1
27.12,92,4.17,27.58,0.29,0
26.95,93,4.80,27.36,0.29,0
26.80,93,4.80,27.13,0.29,0
26.67,33,4.39,30.93,0.29,1
26.52,33,4.00,30.75,0.28,1
26.20,94,4.14,26.54,0.28,0
26.06,94,4.21,26.31,0.28,0
25.98,64,6.71,32.11,0.26,1
25.90,94,4.91,25.90,0.28,0
25.87,94,4.52,25.71,0.28,0
26.06,34,4.34,29.58,0.28,1
27.45,90,4.74,25.71,0.28,0
28.26,84,5.01,26.00,0.28,0
27.93,84,4.65,26.18,0.28,0
28.05,83,4.65,26.34,0.28,0
28.86,81,4.06,26.61,0.27,0
29.21,78,3.96,27.00,0.27,1
30.16,74,4.08,27.50,0.27,0
30.47,73,4.80,28.08,0.27,0
29.16,78,5.60,28.26,0.27,0
28.62,81,5.92,28.29,0.27,0
28.41,83,6.22,28.24,0.27,0
27.39,87,6.18,28.12,0.27,0
27.09,86,9.32,28.15,0.27,0
26.52,89,9.32,27.74,0.27,0
26.13,32,9.07,30.37,0.22,1
25.82,63,8.50,28.98,0.27,1
25.70,94,7.35,26.65,0.27,0
25.47,95,6.22,26.29,0.27,0
25.29,26,5.84,29.97,0.21,1
25.03,97,5.09,25.63,0.27,0
24.79,98,3.96,25.30,0.27,0
24.70,68,7.41,29.99,0.25,0
24.63,99,3.04,24.70,0.27,0
25.15,96,2.62,24.52,0.27,0
26.58,90,2.28,24.74,0.27,0
27.24,88,2.15,25.05,0.27,0
29.01,80,1.79,25.65,0.27,1
30.03,75,2.15,26.36,0.27,0
30.72,71,3.21,27.06,0.26,0
29.06,79,4.56,27.43,0.26,1
28.46,84,5.12,27.52,0.28,0
28.10,86,5.12,27.50,0.29,0
27.71,88,5.07,27.47,0.29,0
27.42,90,5.06,27.40,0.30,0
27.16,92,5.07,27.31,0.31,0
26.95,74,5.72,32.21,0.24,1
26.57,89,3.71,27.47,0.28,0
26.22,31,7.21,32.07,0.22,1
25.87,53,2.29,26.68,0.27,1
25.67,94,1.33,26.31,0.27,0
25.14,97,1.51,25.98,0.27,0
24.74,96,1.79,25.66,0.27,0
24.41,96,2.20,25.37,0.27,0
24.08,96,2.72,25.08,0.27,0
23.76,96,3.20,24.82,0.27,0
23.41,96,4.00,24.59,0.27,0
23.20,96,4.34,24.37,0.27,0
24.00,94,4.91,24.23,0.27,0
26.13,90,5.23,24.38,0.27,0
27.46,86,5.25,24.74,0.27,0
28.40,81,4.74,25.18,0.27,0
29.20,47,5.33,28.71,0.27,1
29.77,74,6.68,26.24,0.26,0
30.16,70,7.28,25.80,0.26,1
30.43,73,7.43,24.35,0.26,1
30.38,73,7.53,27.84,0.26,0
30.07,74,6.95,28.16,0.26,0
28.97,77,5.59,28.24,0.26,0
28.41,79,5.06,28.20,0.26,0
28.13,82,3.74,28.11,0.26,0
27.00,89,2.93,28.06,0.29,0
26.50,91,4.08,27.64,0.28,0
26.14,92,4.47,27.27,0.28,0
25.81,94,4.30,26.89,0.28,0
25.53,32,6.93,28.55,0.22,1
25.16,92,4.30,26.21,0.28,0
24.87,92,4.21,25.89,0.28,0
24.47,92,4.72,25.58,0.28,0
24.16,92,5.01,25.31,0.28,0
23.93,73,6.80,28.03,0.25,1
23.65,91,4.80,24.78,0.27,0
24.15,91,4.58,24.57,0.27,0
26.66,92,3.84,24.69,0.27,0
28.85,80,3.84,25.11,0.27,0
30.00,77,3.04,25.66,0.27,0
29.81,82,2.83,26.12,0.28,0
29.27,47,3.21,26.45,0.28,1
28.63,79,3.04,26.91,0.28,0
29.91,77,3.34,27.31,0.28,0
29.69,80,3.71,27.58,0.28,0
29.55,40,3.81,27.77,0.28,1
29.93,75,4.30,28.04,0.27,0
29.87,75,4.54,28.21,0.27,0
28.92,40,4.86,32.21,0.23,1
28.37,83,6.24,29.70,0.26,0
27.84,85,6.71,29.21,0.26,0
27.44,86,6.66,28.76,0.26,0
26.97,86,6.71,28.32,0.26,0
26.18,89,6.66,27.92,0.26,0
25.33,91,6.93,27.53,0.26,0
24.64,93,7.27,27.16,0.26,0
24.05,93,7.84,26.78,0.26,0
23.51,94,7.74,26.42,0.26,0
23.05,94,7.73,26.05,0.26,0
22.68,44,8.37,35.69,0.22,0
22.98,63,7.37,28.37,0.26,0
26.15,89,6.45,25.35,0.26,0
29.62,72,6.99,25.71,0.26,0
31.20,67,6.22,26.29,0.26,1
32.42,84,5.66,24.02,0.28,0
33.31,40,4.12,20.78,0.27,0
33.85,60,4.21,28.56,0.25,1
34.09,58,3.79,29.21,0.25,1
32.65,65,2.15,29.38,0.25,1
32.59,68,2.03,29.66,0.25,1
33.00,60,3.21,30.01,0.25,1
32.34,92,4.14,25.15,0.25,0
30.70,73,5.54,30.10,0.25,1
29.60,74,6.68,30.06,0.26,0
28.70,77,6.99,29.56,0.26,0
28.04,80,7.27,29.10,0.26,0
27.07,83,7.19,28.64,0.26,0
26.24,46,6.74,31.24,0.24,1
25.45,88,6.58,27.83,0.26,0
24.88,89,6.81,27.46,0.26,0
24.36,89,7.37,27.08,0.26,0
23.92,90,7.92,26.73,0.26,0
23.48,90,7.74,26.36,0.26,0
23.23,90,7.78,26.03,0.26,0
24.11,86,7.78,25.77,0.26,0
26.85,85,6.79,25.78,0.26,0
29.50,73,6.97,26.08,0.26,0
31.22,67,6.79,26.59,0.26,1
32.49,64,6.24,27.30,0.26,1
33.41,61,5.49,28.04,0.25,1
33.94,39,4.54,23.79,0.28,0
34.04,29,3.41,21.44,0.28,0
32.99,64,2.15,29.91,0.25,1
32.53,68,2.46,30.14,0.25,1
32.73,60,3.22,30.43,0.25,1
32.12,63,4.21,30.50,0.25,0
30.53,77,5.47,30.41,0.25,0
28.70,88,7.84,28.69,0.27,0
28.30,89,7.95,28.39,0.27,0
28.02,89,7.37,28.12,0.27,0
27.76,89,6.97,27.85,0.27,0
27.55,91,7.32,27.68,0.27,0
27.43,92,6.85,27.54,0.27,0
27.19,92,6.59,27.40,0.27,0
26.80,92,6.74,27.24,0.26,0
26.56,91,5.62,27.05,0.26,0
26.39,91,4.86,26.82,0.26,0
26.43,92,4.08,26.69,0.26,0
26.79,91,4.03,26.58,0.26,0
27.77,92,3.50,26.61,0.26,0
28.79,83,3.77,26.77,0.26,0
29.68,80,3.62,27.03,0.26,1
29.97,84,3.46,27.34,0.27,0
30.02,84,3.57,27.65,0.29,0
28.62,85,2.98,27.79,0.30,0
28.30,85,2.93,27.91,0.30,0
28.55,83,2.93,27.89,0.30,0
28.48,84,2.66,27.88,0.29,0
28.87,83,2.40,27.95,0.29,0
28.77,84,2.41,27.97,0.29,0
28.19,87,3.04,27.90,0.29,0
27.88,93,6.93,28.48,0.31,0
27.80,92,7.25,28.19,0.30,0
27.84,91,7.17,27.98,0.30,0
27.76,91,7.17,27.77,0.30,0
27.52,91,7.37,27.58,0.30,0
27.18,92,7.24,27.34,0.29,0
26.69,94,7.46,27.13,0.29,0
25.98,97,7.80,26.93,0.30,0
25.75,98,8.01,26.76,0.30,0
25.41,98,8.09,26.58,0.31,0
25.21,98,8.36,26.41,0.33,0
25.02,97,8.96,26.23,0.35,0
24.91,97,9.30,26.08,0.35,0
24.87,96,10.11,25.95,0.35,0
24.86,96,10.79,25.83,0.35,0
24.89,95,10.98,25.74,0.35,0
25.09,95,10.61,25.68,0.35,0
25.50,95,10.56,25.67,0.34,0
25.95,93,9.91,25.70,0.33,0
26.28,91,9.06,25.74,0.33,0
26.55,91,8.81,25.79,0.32,0
26.65,90,8.89,25.83,0.32,0
26.45,92,8.79,25.84,0.32,0
25.90,94,8.86,25.78,0.31,0
27.81,93,8.71,28.17,0.30,0
27.43,93,8.73,27.91,0.30,0
26.98,94,9.20,27.67,0.29,0
26.54,94,9.63,27.41,0.29,0
26.14,94,9.95,27.18,0.29,0
25.74,95,9.44,26.94,0.29,0
25.38,45,8.79,28.70,0.2,1
25.06,95,7.58,26.45,0.29,0
24.86,94,6.22,26.21,0.28,0
24.65,94,6.74,25.98,0.28,0
24.40,94,7.53,25.75,0.28,0
24.40,94,8.28,25.53,0.28,0
24.68,94,8.26,25.41,0.28,0
26.86,86,8.37,24.89,0.28,0
27.47,83,7.19,25.17,0.28,0
28.10,80,6.66,25.46,0.29,0
29.22,75,4.74,25.90,0.29,1
29.59,75,3.47,26.31,0.28,0
29.90,74,3.71,26.70,0.28,0
29.41,77,4.30,27.03,0.28,0
28.47,84,5.07,27.06,0.28,0
27.47,91,4.65,27.03,0.29,0
27.18,92,5.39,26.97,0.29,0
26.55,94,5.65,26.85,0.28,0
26.17,94,6.74,26.61,0.28,0
26.08,91,3.47,26.06,0.28,0
25.91,90,5.60,25.58,0.29,0
25.69,88,6.33,25.17,0.29,0
25.33,37,6.49,29.76,0.2,1
24.90,87,5.96,24.54,0.29,0
24.53,87,5.33,24.32,0.28,0
24.27,89,5.06,24.08,0.28,0
24.13,88,5.33,23.88,0.28,0
24.02,87,5.06,23.69,0.28,0
24.02,87,4.27,23.55,0.28,0
24.53,87,4.80,23.46,0.28,0
26.50,87,4.53,23.69,0.28,0
27.88,79,5.49,24.28,0.28,0
29.27,75,6.13,25.02,0.28,1
30.71,69,3.34,25.96,0.28,0
30.66,72,3.77,26.85,0.28,0
28.87,81,3.84,27.22,0.29,0
29.54,80,4.90,27.32,0.29,0
28.88,81,4.86,27.35,0.30,0
28.15,87,4.53,27.36,0.29,0
27.99,84,3.47,27.33,0.29,0
27.37,87,3.37,27.30,0.29,0
26.82,90,4.27,27.15,0.29,0
26.46,91,5.49,26.89,0.29,0
26.13,91,0.96,26.39,0.29,0
25.91,91,2.64,25.96,0.29,0
25.61,91,3.96,25.55,0.29,0
25.19,93,4.52,25.24,0.29,0
24.58,93,4.54,25.07,0.29,0
24.19,92,4.34,24.85,0.29,0
23.76,92,4.74,24.61,0.29,0
23.40,92,4.77,24.37,0.29,0
23.18,91,5.23,24.13,0.29,0
22.98,90,5.12,23.89,0.29,0
23.51,89,5.39,23.71,0.28,0
26.24,87,4.54,23.88,0.28,0
28.41,77,6.07,24.59,0.28,0
29.42,74,5.17,25.36,0.28,0
29.96,72,4.47,26.16,0.28,0
30.16,75,6.04,26.77,0.28,0
28.53,82,5.66,27.04,0.28,0
29.81,76,5.09,27.29,0.28,1
29.44,81,4.00,27.47,0.28,0
29.18,82,3.58,27.63,0.28,0
28.99,79,4.37,27.80,0.28,0
28.71,81,4.89,27.84,0.28,0
27.82,86,4.66,27.74,0.28,0
27.21,88,5.47,27.47,0.28,0
26.87,88,4.58,26.93,0.28,0
26.96,87,4.55,26.56,0.29,0
26.87,85,4.53,26.26,0.29,0
26.78,84,4.39,26.05,0.30,0
26.18,86,5.05,25.80,0.29,0
25.82,87,6.40,25.52,0.29,0
25.30,89,7.89,25.23,0.29,0
25.08,88,8.30,24.97,0.29,0
24.82,89,7.77,24.71,0.29,0
24.68,89,6.67,24.49,0.29,0
25.05,89,5.62,24.33,0.29,0
27.24,83,4.86,24.53,0.28,0
28.88,76,6.33,25.14,0.29,0
30.14,71,2.93,25.83,0.29,0
30.91,70,1.88,26.58,0.29,0
31.85,64,3.74,27.40,0.29,1
32.19,64,3.30,28.10,0.29,1
32.30,69,3.81,28.53,0.29,0
29.95,73,4.30,28.61,0.29,1
29.28,76,3.96,28.61,0.29,0
28.22,81,3.47,28.57,0.28,0
28.54,79,3.62,28.52,0.28,0
27.41,86,3.20,28.36,0.28,0
26.83,87,3.12,28.02,0.28,0
26.66,87,3.81,27.27,0.29,0
26.47,87,2.66,26.64,0.29,0
26.33,87,2.93,25.97,0.30,0
25.82,88,3.22,25.38,0.30,0
25.42,87,4.03,25.12,0.30,0
25.08,88,5.07,24.86,0.29,0
24.79,89,5.07,24.60,0.29,0
24.57,87,5.39,24.38,0.29,0
24.40,87,5.65,24.15,0.29,0
24.34,87,5.60,23.96,0.29,0
24.86,87,5.06,23.85,0.29,0
27.27,82,5.06,24.09,0.29,0
28.86,76,4.80,24.80,0.29,0
30.00,72,2.20,25.58,0.29,0
31.01,69,0.00,26.46,0.29,1
30.67,68,2.15,27.14,0.29,0
29.95,76,3.50,27.44,0.29,0
28.77,83,3.25,27.57,0.29,0
29.35,80,3.96,27.68,0.29,0
29.65,75,4.06,27.92,0.29,0
29.99,73,4.00,28.20,0.29,0
29.64,74,3.73,28.35,0.29,0
28.67,79,3.20,28.29,0.29,0
27.74,82,2.93,27.86,0.28,0
27.24,83,3.50,27.10,0.29,0
26.89,84,4.80,26.51,0.29,0
26.47,84,5.62,26.01,0.29,0
26.05,84,5.39,25.56,0.29,0
25.85,84,5.17,25.34,0.29,0
25.46,84,5.29,25.10,0.29,0
25.02,85,5.29,24.85,0.29,0
24.77,85,4.43,24.60,0.29,0
24.54,85,4.30,24.35,0.29,0
24.29,85,4.47,24.12,0.28,0
24.46,89,4.72,23.94,0.28,0
26.61,90,4.14,24.10,0.28,0
28.87,77,6.08,24.80,0.29,0
30.31,72,4.98,25.63,0.29,0
31.22,69,3.74,26.52,0.29,1
30.91,67,3.22,27.19,0.29,0
29.58,75,2.62,27.64,0.29,1
31.23,78,2.46,28.13,0.29,1
30.67,75,3.04,28.49,0.29,0
30.87,71,2.74,28.83,0.29,0
30.75,67,2.29,29.06,0.29,0
30.31,70,1.07,29.16,0.29,0
29.06,76,1.79,29.04,0.29,0
28.09,79,2.13,28.58,0.29,0
27.36,82,5.25,27.61,0.29,0
27.00,83,6.67,26.85,0.29,0
26.65,84,6.92,26.25,0.29,0
26.06,85,6.35,25.69,0.30,0
25.47,93,2.60,25.94,0.28,0
25.06,94,2.90,25.64,0.28,0
24.70,96,3.08,25.35,0.28,0
24.43,96,2.97,25.08,0.28,0
24.28,94,3.67,24.82,0.28,0
24.21,95,4.32,24.58,0.28,0
24.87,93,5.40,24.42,0.28,0
27.22,50,7.0,20.64,0.28,1
28.87,80,5.77,25.12,0.28,0
29.09,83,5.40,25.52,0.28,1
28.52,85,4.80,25.77,0.30,0
28.16,82,4.69,25.98,0.30,1
27.93,82,4.58,26.35,0.30,0
29.17,79,4.51,26.61,0.30,0
29.40,77,4.10,26.94,0.29,1
29.32,76,3.26,27.21,0.29,0
29.17,76,2.52,27.40,0.29,0
29.13,77,1.94,27.51,0.29,0
27.93,81,1.80,27.49,0.29,0
28.09,79,2.88,28.58,0.29,0
27.46,82,3.71,28.10,0.28,0
27.05,84,4.33,27.68,0.28,0
26.71,85,4.51,27.31,0.28,0
26.41,86,4.90,27.00,0.28,0
26.20,87,5.09,26.71,0.28,0
26.24,87,5.04,26.51,0.28,0
25.91,88,5.86,26.32,0.28,0
25.73,88,6.73,26.10,0.28,0
25.61,88,6.12,25.87,0.28,0
25.42,89,6.37,25.66,0.28,0
25.31,90,6.64,25.51,0.28,0
26.04,89,5.86,25.48,0.28,0
28.45,80,4.90,25.69,0.28,0
30.11,76,3.22,26.24,0.28,0
30.01,83,3.26,26.67,0.29,0
29.83,84,3.96,26.96,0.30,1
28.69,81,4.02,27.14,0.30,0
28.31,81,4.45,27.38,0.30,0
29.14,43,7.01,31.57,0.22,1
29.21,85,4.68,27.74,0.30,0
27.96,82,5.00,28.03,0.30,0
28.27,85,4.90,28.06,0.30,0
27.41,91,5.32,27.96,0.29,0
27.06,93,5.41,27.85,0.29,0
27.04,55,5.0,35.64,0.15,1
26.79,93,3.08,27.40,0.28,0
26.52,94,3.10,27.11,0.28,0
26.13,96,4.80,26.83,0.28,0
25.57,99,7.34,26.55,0.28,0
25.48,98,7.99,26.36,0.28,0
25.41,97,8.05,26.23,0.28,0
25.30,97,8.21,26.09,0.28,0
25.10,97,7.63,25.95,0.28,0
24.82,98,7.57,25.80,0.28,0
24.97,97,7.73,25.66,0.28,0
26.32,93,7.99,25.69,0.28,0
28.23,81,7.70,25.98,0.28,0
29.52,74,8.09,26.46,0.28,1
30.22,70,8.40,27.07,0.28,1
30.59,68,8.85,27.65,0.28,1
30.74,68,9.50,28.24,0.27,1
30.57,68,9.98,28.68,0.27,1
30.37,69,10.83,29.05,0.27,1
30.00,70,10.83,29.30,0.27,0
29.40,72,10.50,29.39,0.27,0
28.67,76,9.57,29.33,0.27,0
27.44,82,8.09,29.09,0.27,0
26.54,94,1.08,27.30,0.30,0
26.06,96,1.44,26.93,0.30,0
25.63,97,2.28,26.56,0.30,0
25.46,98,3.55,26.18,0.29,0
25.26,37,6.55,27.91,0.19,1
25.16,97,5.86,25.78,0.29,0
25.00,97,6.52,25.67,0.29,0
24.83,97,6.48,25.55,0.29,0
24.68,97,7.20,25.43,0.29,0
24.59,97,7.20,25.32,0.29,0
24.49,97,7.20,25.21,0.29,0
24.53,97,7.56,25.11,0.29,0
25.22,95,7.57,25.13,0.28,0
27.31,90,7.77,25.36,0.28,0
28.73,85,7.29,25.70,0.28,0
28.04,84,6.76,25.87,0.29,0
28.12,84,7.29,26.08,0.29,0
27.85,85,6.99,26.21,0.29,0
27.79,85,6.61,26.31,0.29,0
28.03,85,6.64,26.49,0.30,0
27.66,85,6.37,26.59,0.30,0
27.30,87,5.99,26.80,0.30,0
27.73,87,5.32,26.91,0.30,0
26.86,89,4.69,26.85,0.30,0
27.41,90,0.36,27.66,0.30,0
27.27,92,1.48,27.48,0.30,0
27.17,93,2.62,27.34,0.29,0
26.95,92,3.08,27.15,0.29,0
26.74,93,3.88,26.96,0.29,0
26.68,94,4.02,26.80,0.29,0
26.40,94,5.00,26.64,0.29,0
25.76,96,5.80,26.35,0.29,0
25.49,95,5.12,26.07,0.29,0
25.33,94,4.84,25.82,0.29,0
25.21,93,4.61,25.59,0.28,0
25.50,34,5.12,27.41,0.23,1
27.46,90,4.58,25.53,0.28,0
28.93,32,5.39,30.88,0.24,1
29.34,85,3.55,26.12,0.29,0
28.52,60,5.76,35.34,0.20,1
28.72,81,4.10,26.50,0.30,0
28.19,81,4.55,26.79,0.30,0
29.30,79,3.88,27.00,0.30,0
29.12,78,3.89,27.27,0.30,0
29.76,82,3.26,27.46,0.30,1
28.28,89,3.26,27.60,0.29,0
28.95,82,4.02,27.64,0.29,0
28.04,86,5.35,27.60,0.29,0
27.85,92,6.64,27.93,0.31,0
27.51,92,7.17,27.67,0.30,0
27.24,92,7.57,27.43,0.30,0
26.97,92,8.23,27.17,0.30,0
26.73,92,8.21,26.93,0.30,0
26.44,91,7.99,26.69,0.30,0
26.06,91,9.06,26.45,0.30,0
25.39,42,10.14,28.20,0.18,1
24.97,91,9.42,25.92,0.29,0
24.47,92,9.03,25.62,0.29,0
24.15,93,9.42,25.38,0.29,0
24.52,92,9.00,25.18,0.29,0
25.91,23,7.95,28.17,0.21,1
27.89,84,8.40,25.38,0.29,0
29.09,78,8.05,25.70,0.29,0
30.77,70,7.42,26.27,0.22,0
31.91,66,7.86,26.95,0.22,0
32.28,64,7.57,27.60,0.22,0
31.28,69,6.48,27.93,0.22,0
31.27,68,6.57,28.17,0.22,0
30.93,71,7.29,28.33,0.22,0
30.16,75,7.57,28.41,0.28,0
29.47,81,7.90,28.46,0.28,0
28.77,85,8.89,28.35,0.28,0
28.65,84,12.90,29.59,0.28,0
28.05,87,11.89,29.12,0.28,0
27.93,87,10.30,28.74,0.28,0
27.74,87,9.00,28.38,0.28,0
27.54,87,7.92,28.08,0.28,0
27.01,88,7.77,27.81,0.28,0
26.64,88,7.57,27.58,0.28,0
26.23,87,7.41,27.35,0.28,0
25.86,87,6.03,27.14,0.28,0
25.71,87,5.05,26.90,0.28,0
25.68,87,5.69,26.71,0.28,0
25.86,47,7.29,28.51,0.22,1
27.00,87,9.67,26.48,0.28,0
28.90,49,11.20,29.64,0.23,1
30.27,74,10.80,27.03,0.28,1
30.88,71,9.69,27.47,0.27,1
30.49,73,9.42,27.86,0.27,1
30.18,80,9.78,27.98,0.27,1
30.98,69,10.54,28.19,0.27,1
31.35,86,41.17,23.48,0.26,0
31.05,68,10.24,28.63,0.27,1
30.48,73,9.42,28.69,0.27,1
29.99,80,8.47,28.68,0.27,1
28.76,83,8.23,28.54,0.27,1
29.68,81,12.73,29.85,0.27,1
29.20,82,12.18,29.45,0.27,0
28.82,83,10.97,29.11,0.27,0
28.44,83,9.83,28.75,0.27,0
27.79,84,9.03,28.45,0.27,0
27.01,86,8.23,28.14,0.27,0
26.46,85,7.79,27.88,0.27,0
25.93,85,7.93,27.59,0.27,0
25.46,85,8.40,27.31,0.27,0
24.98,84,9.18,27.02,0.27,0
24.13,85,10.32,26.69,0.27,0
24.03,86,10.19,26.35,0.27,0
27.09,84,7.39,26.31,0.27,0
30.67,69,8.50,26.65,0.27,1
32.27,64,9.09,27.16,0.27,1
33.24,60,9.79,27.78,0.27,1
31.12,70,10.46,28.07,0.27,1
31.15,72,8.91,28.28,0.27,1
34.22,57,9.18,28.89,0.27,1
34.49,55,7.90,29.46,0.27,1
34.49,56,5.69,29.91,0.26,1
34.10,87,4.55,22.22,0.3,0
33.25,63,3.60,30.36,0.26,1
31.50,70,3.10,30.32,0.26,1
30.18,89,3.15,25.59,0.32,0
29.09,57,9.01,38.84,0.23,1
28.00,80,9.98,28.13,0.27,0
26.56,85,11.53,27.41,0.27,0
25.41,48,11.97,27.76,0.23,1
24.69,89,12.23,26.47,0.27,0
24.20,89,11.46,26.19,0.27,0
24.66,85,12.48,25.96,0.27,0
25.31,81,12.98,25.84,0.27,0
25.30,80,12.74,25.75,0.27,0
25.12,80,13.32,25.63,0.27,0
24.99,81,13.58,25.50,0.27,0
25.30,24,12.59,30.40,0.2,1
27.85,80,13.53,25.82,0.27,0
31.25,80,7.53,26.62,0.27,0
33.29,60,12.98,27.69,0.27,1
33.33,58,13.48,28.64,0.27,1
31.74,63,13.28,28.81,0.27,1
30.42,71,11.99,28.80,0.27,1
29.38,81,10.50,28.73,0.27,1
29.26,84,10.97,28.65,0.27,1
29.72,76,11.84,28.61,0.27,1
29.72,76,11.63,28.58,0.26,1
28.37,81,10.95,28.48,0.26,1
27.42,84,11.09,28.20,0.26,1
26.31,85,12.98,27.56,0.27,0
25.25,86,14.19,26.96,0.27,0
24.27,86,14.40,26.40,0.27,0
23.46,87,13.68,25.87,0.27,0
22.97,87,13.10,25.55,0.27,0
23.27,85,12.03,25.28,0.27,0
23.47,83,10.74,25.07,0.27,0
24.01,81,10.46,24.92,0.27,0
23.85,82,10.80,24.77,0.27,0
23.34,85,10.30,24.61,0.27,0
23.62,86,9.45,24.40,0.27,0
26.72,84,8.16,24.53,0.26,0
29.77,72,8.89,25.25,0.27,0
31.25,67,8.91,26.08,0.27,0
32.36,63,7.97,27.01,0.27,1
33.07,62,6.61,27.89,0.27,1
32.28,63,4.90,28.37,0.27,1
33.48,57,5.41,28.94,0.27,1
33.46,56,6.03,29.49,0.27,1
33.20,56,7.10,29.88,0.26,1
